"country","year","piracy","log_population","log_plankton","log_fishcaught","log_rain","log_GDP","latitutde","longitude","continent"
435,2008,0,15.0459985733032,6.15171003341675,10.957781791687,4.89290761947632,6.97575187683105,18.09,-15.98,"africa"
435,2009,0,15.0728569030762,5.98298215866089,11.6575794219971,5.03485918045044,6.74873304367065,18.09,-15.98,"africa"
437,2004,1,16.6571769714355,4.63969802856445,9.80040264129639,6.99247789382935,6.83904790878296,5.32999992370605,-4.03000020980835,"africa"
437,2005,1,16.6716346740723,4.65295553207397,9.14590835571289,7.10051250457764,6.85441780090332,5.32999992370605,-4.03000020980835,"africa"
437,2006,1,16.6869487762451,4.58705043792725,9.26936340332031,7.01750421524048,6.84873294830322,5.32999992370605,-4.03000020980835,"africa"
437,2007,0,16.7030487060547,4.60341310501099,9.1945161819458,7.08601522445679,6.96250009536743,5.32999992370605,-4.03000020980835,"africa"
437,2008,1,16.7202262878418,5.04716730117798,8.95686626434326,7.16372346878052,7.11163282394409,5.32999992370605,-4.03000020980835,"africa"
437,2009,1,16.7387447357178,4.46978521347046,8.65625953674316,7.06429243087769,7.08243370056152,5.32999992370605,-4.03000020980835,"africa"
438,2004,1,16.0540504455566,4.94037199020386,10.4297533035278,7.13583469390869,6.01265621185303,NA,NA,"africa"
438,2005,1,16.0748043060303,5.04848909378052,9.49084663391113,7.42712640762329,5.78259468078613,NA,NA,"africa"
438,2006,1,16.0977878570557,5.21211910247803,10.2657318115234,7.26528406143188,5.80289745330811,NA,NA,"africa"
438,2007,1,16.12278175354,5.08381938934326,10.3552312850952,7.35567712783813,6.21359300613403,NA,NA,"africa"
438,2008,1,16.1490783691406,4.9187183380127,10.4527645111084,7.5236668586731,6.31989860534668,NA,NA,"africa"
438,2009,1,16.1757278442383,5.09840965270996,10.4515218734741,7.46326637268066,6.29886913299561,NA,NA,"africa"
450,2004,1,14.9738512039185,4.32656860351562,7.82284545898438,7.55924367904663,5.13814926147461,NA,NA,"africa"
450,2005,0,15.0002355575562,4.56054592132568,7.34148406982422,7.70551538467407,5.25256156921387,NA,NA,"africa"
450,2006,0,15.0348024368286,4.14085006713867,7.10332202911377,7.67438173294067,5.35543537139893,NA,NA,"africa"
450,2007,1,15.0746231079102,4.19301748275757,8.0497465133667,7.74484205245972,5.45953512191772,NA,NA,"africa"
450,2008,1,15.1164417266846,4.32177209854126,7.43366670608521,7.78198766708374,5.52722263336182,NA,NA,"africa"
450,2009,0,15.1561374664307,4.14896774291992,7.43011426925659,7.65366458892822,5.58706998825073,NA,NA,"africa"
451,2004,1,15.4104795455933,4.54131603240967,11.1505918502808,7.6575231552124,5.6664571762085,NA,NA,"africa"
451,2005,0,15.4486446380615,4.87371587753296,11.2260293960571,7.85601902008057,5.75535440444946,NA,NA,"africa"
451,2006,1,15.4796085357666,4.71096992492676,11.2385149002075,7.82196617126465,5.85689163208008,NA,NA,"africa"
451,2007,1,15.5048704147339,4.75875520706177,11.1583337783813,7.85272979736328,5.9617395401001,NA,NA,"africa"
451,2008,0,15.5260848999023,4.40692377090454,11.5893497467041,7.89637613296509,6.07943725585938,NA,NA,"africa"
451,2009,0,15.5456037521362,4.60266351699829,11.5701560974121,7.88000202178955,6.04386281967163,NA,NA,"africa"
452,2004,1,16.8521690368652,4.64107990264893,12.0936822891235,6.96842241287231,6.51309299468994,5.64,0.01,"africa"
452,2005,1,16.8781547546387,4.38918399810791,11.8945894241333,6.95175504684448,6.67803716659546,5.64,0.01,"africa"
452,2006,1,16.9041767120361,4.33098125457764,11.9224290847778,7.00394344329834,6.82503128051758,5.64,0.01,"africa"
452,2007,1,16.9301662445068,4.20116662979126,11.4706335067749,7.07784652709961,6.99397468566895,5.64,0.01,"africa"
452,2008,1,16.9557819366455,4.54174280166626,11.6042461395264,7.08988475799561,7.11172723770142,5.64,0.01,"africa"
452,2009,1,16.9806289672852,4.10631608963013,11.6058416366577,7.14319038391113,7.00163507461548,5.64,0.01,"africa"
461,2004,0,15.5015115737915,3.36719989776611,9.44398880004883,6.91238880157471,5.90332889556885,6.17,1.35,"africa"
461,2005,0,15.5275440216064,3.14427757263184,9.69356822967529,6.8171010017395,5.96665859222412,6.17,1.35,"africa"
461,2006,1,15.5534906387329,3.02850866317749,9.15852069854736,6.89435815811157,5.99448442459106,6.17,1.35,"africa"
461,2007,0,15.5793514251709,2.68501019477844,8.26539325714111,7.05838632583618,6.10405206680298,6.17,1.35,"africa"
461,2008,1,15.6051826477051,2.86462473869324,8.41272163391113,7.0413932800293,6.30691576004028,6.17,1.35,"africa"
461,2009,1,15.6310606002808,2.43556237220764,8.54012775421143,7.09695625305176,6.28402519226074,6.17,1.35,"africa"
471,2004,1,16.6876602172852,4.98006820678711,10.6689558029175,7.28519201278687,6.82331657409668,4.06,9.71,"africa"
471,2005,1,16.7135047912598,4.64232397079468,10.7008371353149,7.34945821762085,6.85116767883301,4.06,9.71,"africa"
471,2006,1,16.7393131256104,4.76960229873657,10.7034912109375,7.38246393203735,6.90801572799683,4.06,9.71,"africa"
471,2007,0,16.7650775909424,4.77584314346313,10.7012424468994,7.3794527053833,7.01521635055542,4.06,9.71,"africa"
471,2008,1,16.7907867431641,4.51488208770752,10.6980628967285,7.33949613571167,7.12550163269043,4.06,9.71,"africa"
471,2009,0,16.816427230835,4.46999979019165,10.6969776153564,7.33741474151611,7.10607624053955,4.06,9.71,"africa"
475,2004,1,18.7281608581543,5.20088052749634,11.3986701965332,6.87096357345581,6.46774625778198,6.45,3.47,"africa"
475,2005,1,18.7541904449463,5.27620410919189,11.3772201538086,7.0034122467041,6.68808889389038,6.45,3.47,"africa"
475,2006,1,18.7805557250977,4.99525356292725,11.4760437011719,7.01574945449829,6.92223691940308,6.45,3.47,"africa"
475,2007,1,18.8072166442871,5.16802740097046,11.3886308670044,7.018310546875,7.03235483169556,6.45,3.47,"africa"
475,2008,1,18.8341674804688,4.93486261367798,11.3682584762573,7.03578424453735,7.23054075241089,6.45,3.47,"africa"
475,2009,1,18.8613910675049,4.95181369781494,11.4283580780029,7.01097011566162,7.0003809928894,6.45,3.47,"africa"
481,2004,0,14.1134834289551,4.9846773147583,9.4278678894043,7.42803478240967,8.66047477722168,0.39,9.45,"africa"
481,2005,0,14.1372060775757,5.26714134216309,9.31136131286621,7.35674524307251,8.83937454223633,0.39,9.45,"africa"
481,2006,0,14.1611595153809,5.49542570114136,9.43524265289307,7.44658613204956,8.90518093109131,0.39,9.45,"africa"
481,2007,0,14.1852712631226,5.25369119644165,9.43100070953369,7.65454959869385,9.06742858886719,0.39,9.45,"africa"
481,2008,0,14.2094717025757,5.07125043869019,9.02617740631104,7.47591829299927,9.35882759094238,0.39,9.45,"africa"
481,2009,0,14.2336645126343,5.18034744262695,8.63301849365234,7.57259225845337,9.2506103515625,0.39,9.45,"africa"
484,2004,0,15.0535564422607,4.73854446411133,8.6740255355835,7.30189180374146,7.20718145370483,-4.76999998092651,11.8699998855591,"africa"
484,2005,0,15.0804471969604,5.07197666168213,8.70417022705078,7.35270547866821,7.45170068740845,-4.76999998092651,11.8699998855591,"africa"
484,2006,0,15.109320640564,5.41076612472534,8.71538829803467,7.38452863693237,7.66419219970703,-4.76999998092651,11.8699998855591,"africa"
484,2007,0,15.1396255493164,5.0381875038147,8.81254577636719,7.42617797851562,7.59745216369629,-4.76999998092651,11.8699998855591,"africa"
484,2008,1,15.1704368591309,5.04649019241333,8.88765239715576,7.34887981414795,7.88327598571777,-4.76999998092651,11.8699998855591,"africa"
484,2009,0,15.2005910873413,4.97319030761719,9.1462287902832,7.40515422821045,7.63980293273926,-4.76999998092651,11.8699998855591,"africa"
501,2004,0,17.3661212921143,3.57282590866089,6.20657587051392,6.6185998916626,6.13947582244873,-4.04,39.66,"africa"
